,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
JINDALSTEL-NMDC,,,,,,,0.743489024703849,-1.0583615790197698,1.0386017672650194,3.2192266412048203
HINDALCO-VEDL,,,,1.0315472602816589,-1.3764870683666306,3.395917168038437,,,,
HINDALCO-HINDCOPPER,-0.22022858184551666,,,,,,,,,
VEDL-NATIONALUM,,,,,,,1.7462163652204206,0.9096181815744804,2.0864933735557045,4.32087220471997
HINDCOPPER-NATIONALUM,0.8703158001209691,,,,,,,,,
HINDUNILVR-ITC,,1.6397203213391733,-2.026022934118285,0.03731417121892065,,,,,,
HINDUNILVR-BRITANNIA,,,,,,-4.469136109834955,4.489849647765913,,,
HINDUNILVR-DABUR,-2.545379242047996,-0.17032823645985298,,,,,,,,
HINDUNILVR-COLPAL,,,,,,3.5489844116860962,-3.4099723227586076,,,
ITC-NESTLEIND,,,,,,,,,-5.005578680715782,4.249338123788086
ITC-DABUR,,-3.062154838666427,-3.941922015125565,,,,,,,
ITC-COLPAL,,,,,,,0.6202230065957413,2.2500266845960937,-2.5340435551820817,
NESTLEIND-BRITANNIA,,,,,,0.6233329291431066,-3.5242427962706087,0.3553662918410721,,
NESTLEIND-DABUR,,,,,,-2.0829380454582584,,,,
BRITANNIA-MARICO,,,,-4.586322479686839,0.8328078793973647,,,,3.4124236438466533,
BRITANNIA-COLPAL,,,,,3.055760895639114,-4.430929318694539,3.7022600118564197,,,
DABUR-MARICO,,1.2896521602626827,1.9180057157927892,-1.7604612223008438,1.4584810927830294,,,,,
DABUR-COLPAL,,,,,,,-1.8375311908438299,,,
ASIANPAINT-PIDILITIND,-4.076442276371294,-4.700243505920786,,,,,,,,
DLF-GODREJPROP,,,,,,-0.7829996335092518,-1.9999801002841897,,2.146857074076373,
DLF-OBEROIRLTY,,,,,,,,,-0.45046552358078545,-4.121603564065888
GODREJPROP-OBEROIRLTY,,,,-2.033713216947327,2.1109079598862466,,,1.487070058464742,0.3460475200571981,0.4395003185962636
HAVELLS-CROMPTON,,,,,,2.866053912373229,-1.9702121043959673,2.1795817363154333,0.816140554453799,-1.0028147760897965
HAVELLS-VOLTAS,,,4.748637994869583,,,,,0.6365905807340354,-2.615672577766115,
